česky,mic,context,fin,doubts,notes
"ahoj, já jsem pártha. rád tě poznávám.","Hi, I am Partha. Nice to meet you.",greeting: informal,informal,is j in jsem silent?,
"dobrý den, já jsem pártha dás. rád vás poznávám.","Good day, I am Partha Das. Nice to meet you.",greeting: formal,formal,,
těší mě,Pleased to meet you.,greeting: safe,neutral,,
s pozdravem,best regards / sincerely,email: ending,formal,,
"rozumím, děkuji","i understand, thanks",ack,neutral,,
"promín, nerozumím","sorry, i do not understand",ack,neutral,,
"promiň, já nemluvím dobře česky",sorry i do not speak czech very well,help with česky,neutral,,
umím trochu česky,i speak little czech,help with česky,neutral,,
mluvíte anglicky?,can you speak English?,help with česky,formal,,
jak se máte?,how are you?,greeting: formal,formal,,
jak se más?,how are you?,greeting: informal,informal,,
děkuji dobře. a vy?,very well thank you. and you?,,formal,,
děkuji dobře. a ty?,very well thank you. and you?,,informal,,
jak se jmenuješ,what is your name?,,informal,,
jak se jmenujete?,what is your name?,,formal,,
jmenuju se pártha,my name is partha,,neutral,,
odkud jsi?,where are you from?,,informal,,
odkud jste?,where are you from?,,formal,,
jsem z india,i am from india,,neutral,,
nashledanou,goodbye,,formal,,
ahoj,goodbye,,informal,,
hezký den!,have a nice day,,neutral,,
rozumíš?,do you understand?,,informal,,
rozumíte?,do you understand?,,formal,,
ano,yes,,neutral,,
ne,no,,neutral,,
já nevím,i don't know,,neutral,,
?,please speak more slowly,,informal,which one is idiomatic? https://omniglot.com/language/phrases/czech.php,
?,please speak more slowly,,formal,which one is idiomatic? https://omniglot.com/language/phrases/czech.php,
?,please say that again,,informal,which one is idiomatic? https://omniglot.com/language/phrases/czech.php,
?,please say that again,,formal,which one is idiomatic? https://omniglot.com/language/phrases/czech.php,
mluvíš anglicky?,can you speak English?,,informal,,
"ano, trochu",yes a little,,neutral,,
?,please write it down,,informal,which one is idiomatic? https://omniglot.com/language/phrases/czech.php,
?,please write it down,,formal,which one is idiomatic? https://omniglot.com/language/phrases/czech.php,
?,how do you say in czech?,,formal,,
?,how do you say in czech?,,informal,,
promiňte,excuse me,,formal,,
s dovolením,excuse me (permission to pass by),,formal,,
pardon,excuse me / sorry (e.g. bumped into someone),,formal,,
není zač,you're welcome (reply to thank you),,neutral,,
brzy se uzdrav!,get well soon,,informal,,
,get well soon,,formal,,

hezký večer,have a nice evening,,neutral,,
hezký den,have a nice day,,neutral,,
